State,Median Rent,Annual Median Rent,Salary Needed
Alabama,1400.0,16800.0,55999.44
Alaska,1700.0,20400.0,67999.31999999999
Arizona,1950.0,23400.0,77999.22
Arkansas,1395.0,16740.0,55799.441999999995
California,2758.0,33096.0,110318.8968
Colorado,2112.0,25344.0,84479.1552
Connecticut,1900.0,22800.0,75999.24
Delaware,1900.0,22800.0,75999.24
Florida,2500.0,30000.0,99999.0
Georgia,1988.0,23856.0,79519.20479999999
Hawaii,3000.0,36000.0,119998.8
Idaho,1700.0,20400.0,67999.31999999999
Illinois,1800.0,21600.0,71999.28
Indiana,1300.0,15600.0,51999.479999999996
Iowa,1092.0,13104.0,43679.5632
Kansas,1200.0,14400.0,47999.52
Kentucky,1300.0,15600.0,51999.479999999996
Louisiana,1500.0,18000.0,59999.4
Maine,2000.0,24000.0,79999.2
Maryland,1837.0,22044.0,73479.2652
Massachusetts,3200.0,38400.0,127998.72
Michigan,1350.0,16200.0,53999.46
Minnesota,1500.0,18000.0,59999.4
Mississippi,1400.0,16800.0,55999.44
Missouri,1293.0,15516.0,51719.4828
Montana,1650.0,19800.0,65999.34
Nebraska,1250.0,15000.0,49999.5
Nevada,1999.0,23988.0,79959.2004
New Hampshire,2100.0,25200.0,83999.16
New Jersey,2500.0,30000.0,99999.0
New Mexico,1625.0,19500.0,64999.35
New York,3464.0,41568.0,138558.6144
North Carolina,1800.0,21600.0,71999.28
North Dakota,995.0,11940.0,39799.602
Ohio,1260.0,15120.0,50399.496
Oklahoma,1378.0,16536.0,55119.4488
Oregon,1715.0,20580.0,68599.314
Pennsylvania,1509.0,18108.0,60359.3964
Rhode Island,2200.0,26400.0,87999.12
South Carolina,1816.0,21792.0,72639.2736
South Dakota,1069.0,12828.0,42759.5724
Tennessee,1750.0,21000.0,69999.3
Texas,1895.0,22740.0,75799.242
Utah,1800.0,21600.0,71999.28
Vermont,2000.0,24000.0,79999.2
Virginia,1895.0,22740.0,75799.242
Washington,1945.0,23340.0,77799.222
West Virginia,1000.0,12000.0,39999.6
Wisconsin,1295.0,15540.0,51799.481999999996
Wyoming,1075.0,12900.0,42999.57
